CandidateName,Year,StateName,CountyName,Count
Al Gore,2000,Alabama,Autauga,4942
George W. Bush,2000,Alabama,Autauga,11993
Ralph Nader,2000,Alabama,Autauga,160
Other,2000,Alabama,Autauga,113
Al Gore,2000,Alabama,Baldwin,13997
George W. Bush,2000,Alabama,Baldwin,40872
Ralph Nader,2000,Alabama,Baldwin,1033
Other,2000,Alabama,Baldwin,578
Al Gore,2000,Alabama,Barbour,5188
George W. Bush,2000,Alabama,Barbour,5096
Ralph Nader,2000,Alabama,Barbour,46
Other,2000,Alabama,Barbour,65
Al Gore,2000,Alabama,Bibb,2710
George W. Bush,2000,Alabama,Bibb,4273
Ralph Nader,2000,Alabama,Bibb,52
Other,2000,Alabama,Bibb,66
Al Gore,2000,Alabama,Blount,4977
George W. Bush,2000,Alabama,Blount,12667
Ralph Nader,2000,Alabama,Blount,154
Other,2000,Alabama,Blount,175
Al Gore,2000,Alabama,Bullock,3395
George W. Bush,2000,Alabama,Bullock,1433
Ralph Nader,2000,Alabama,Bullock,24
Other,2000,Alabama,Bullock,52
Al Gore,2000,Alabama,Butler,3606
George W. Bush,2000,Alabama,Butler,4127
Ralph Nader,2000,Alabama,Butler,36
Other,2000,Alabama,Butler,34
Al Gore,2000,Alabama,Calhoun,15781
George W. Bush,2000,Alabama,Calhoun,22306
Ralph Nader,2000,Alabama,Calhoun,481
Other,2000,Alabama,Calhoun,341
Al Gore,2000,Alabama,Chambers,5616
George W. Bush,2000,Alabama,Chambers,6037
Ralph Nader,2000,Alabama,Chambers,95
Other,2000,Alabama,Chambers,86
Al Gore,2000,Alabama,Cherokee,3497
George W. Bush,2000,Alabama,Cherokee,4154
Ralph Nader,2000,Alabama,Cherokee,77
Other,2000,Alabama,Cherokee,95
Al Gore,2000,Alabama,Chilton,4806
George W. Bush,2000,Alabama,Chilton,10066
Ralph Nader,2000,Alabama,Chilton,92
Other,2000,Alabama,Chilton,128
Al Gore,2000,Alabama,Choctaw,3707
George W. Bush,2000,Alabama,Choctaw,3600
Ralph Nader,2000,Alabama,Choctaw,33
Other,2000,Alabama,Choctaw,34
Al Gore,2000,Alabama,Clarke,4679
George W. Bush,2000,Alabama,Clarke,5988
Ralph Nader,2000,Alabama,Clarke,33
Other,2000,Alabama,Clarke,52
Al Gore,2000,Alabama,Clay,2045
George W. Bush,2000,Alabama,Clay,3719
Ralph Nader,2000,Alabama,Clay,52
Other,2000,Alabama,Clay,67
Al Gore,2000,Alabama,Cleburne,1664
George W. Bush,2000,Alabama,Cleburne,3333
Ralph Nader,2000,Alabama,Cleburne,39
Other,2000,Alabama,Cleburne,56
Al Gore,2000,Alabama,Coffee,5220
George W. Bush,2000,Alabama,Coffee,9938
Ralph Nader,2000,Alabama,Coffee,155
Other,2000,Alabama,Coffee,121
Al Gore,2000,Alabama,Colbert,10543
George W. Bush,2000,Alabama,Colbert,10518
Ralph Nader,2000,Alabama,Colbert,208
Other,2000,Alabama,Colbert,263
Al Gore,2000,Alabama,Conecuh,2783
George W. Bush,2000,Alabama,Conecuh,2699
Ralph Nader,2000,Alabama,Conecuh,35
Other,2000,Alabama,Conecuh,34
Al Gore,2000,Alabama,Coosa,2104
George W. Bush,2000,Alabama,Coosa,2382
Ralph Nader,2000,Alabama,Coosa,34
Other,2000,Alabama,Coosa,47
Al Gore,2000,Alabama,Covington,4440
George W. Bush,2000,Alabama,Covington,8961
Ralph Nader,2000,Alabama,Covington,123
Other,2000,Alabama,Covington,89
Al Gore,2000,Alabama,Crenshaw,1934
George W. Bush,2000,Alabama,Crenshaw,2793
Ralph Nader,2000,Alabama,Crenshaw,40
Other,2000,Alabama,Crenshaw,28
Al Gore,2000,Alabama,Cullman,9758
George W. Bush,2000,Alabama,Cullman,19157
Ralph Nader,2000,Alabama,Cullman,282
Other,2000,Alabama,Cullman,328
Al Gore,2000,Alabama,Dale,4906
George W. Bush,2000,Alabama,Dale,10593
Ralph Nader,2000,Alabama,Dale,188
Other,2000,Alabama,Dale,119
Al Gore,2000,Alabama,Dallas,10967
George W. Bush,2000,Alabama,Dallas,7360
Ralph Nader,2000,Alabama,Dallas,63
Other,2000,Alabama,Dallas,74
Al Gore,2000,Alabama,DeKalb,7056
George W. Bush,2000,Alabama,DeKalb,12827
Ralph Nader,2000,Alabama,DeKalb,175
Other,2000,Alabama,DeKalb,227
Al Gore,2000,Alabama,Elmore,6652
George W. Bush,2000,Alabama,Elmore,16777
Ralph Nader,2000,Alabama,Elmore,212
Other,2000,Alabama,Elmore,163
Al Gore,2000,Alabama,Escambia,4523
George W. Bush,2000,Alabama,Escambia,6975
Ralph Nader,2000,Alabama,Escambia,78
Other,2000,Alabama,Escambia,84
Al Gore,2000,Alabama,Etowah,17433
George W. Bush,2000,Alabama,Etowah,21087
Ralph Nader,2000,Alabama,Etowah,435
Other,2000,Alabama,Etowah,393
Al Gore,2000,Alabama,Fayette,3064
George W. Bush,2000,Alabama,Fayette,4582
Ralph Nader,2000,Alabama,Fayette,60
Other,2000,Alabama,Fayette,102
Al Gore,2000,Alabama,Franklin,4793
George W. Bush,2000,Alabama,Franklin,6119
Ralph Nader,2000,Alabama,Franklin,72
Other,2000,Alabama,Franklin,119
Al Gore,2000,Alabama,Geneva,2769
George W. Bush,2000,Alabama,Geneva,6588
Ralph Nader,2000,Alabama,Geneva,97
Other,2000,Alabama,Geneva,105
Al Gore,2000,Alabama,Greene,3504
George W. Bush,2000,Alabama,Greene,850
Ralph Nader,2000,Alabama,Greene,24
Other,2000,Alabama,Greene,18
Al Gore,2000,Alabama,Hale,4652
George W. Bush,2000,Alabama,Hale,2984
Ralph Nader,2000,Alabama,Hale,43
Other,2000,Alabama,Hale,52
Al Gore,2000,Alabama,Henry,2782
George W. Bush,2000,Alabama,Henry,4054
Ralph Nader,2000,Alabama,Henry,48
Other,2000,Alabama,Henry,48
Al Gore,2000,Alabama,Houston,9412
George W. Bush,2000,Alabama,Houston,22150
Ralph Nader,2000,Alabama,Houston,257
Other,2000,Alabama,Houston,238
Al Gore,2000,Alabama,Jackson,9066
George W. Bush,2000,Alabama,Jackson,8475
Ralph Nader,2000,Alabama,Jackson,184
Other,2000,Alabama,Jackson,181
Al Gore,2000,Alabama,Jefferson,129889
George W. Bush,2000,Alabama,Jefferson,138491
Ralph Nader,2000,Alabama,Jefferson,3393
Other,2000,Alabama,Jefferson,1990
Al Gore,2000,Alabama,Lamar,2653
George W. Bush,2000,Alabama,Lamar,4470
Ralph Nader,2000,Alabama,Lamar,57
Other,2000,Alabama,Lamar,69
Al Gore,2000,Alabama,Lauderdale,13875
George W. Bush,2000,Alabama,Lauderdale,17478
Ralph Nader,2000,Alabama,Lauderdale,354
Other,2000,Alabama,Lauderdale,430
Al Gore,2000,Alabama,Lawrence,6296
George W. Bush,2000,Alabama,Lawrence,5671
Ralph Nader,2000,Alabama,Lawrence,63
Other,2000,Alabama,Lawrence,155
Al Gore,2000,Alabama,Lee,14574
George W. Bush,2000,Alabama,Lee,22433
Ralph Nader,2000,Alabama,Lee,895
Other,2000,Alabama,Lee,362
Al Gore,2000,Alabama,Limestone,8992
George W. Bush,2000,Alabama,Limestone,14204
Ralph Nader,2000,Alabama,Limestone,193
Other,2000,Alabama,Limestone,245
Al Gore,2000,Alabama,Lowndes,4557
George W. Bush,2000,Alabama,Lowndes,1638
Ralph Nader,2000,Alabama,Lowndes,18
Other,2000,Alabama,Lowndes,30
Al Gore,2000,Alabama,Macon,7665
George W. Bush,2000,Alabama,Macon,1091
Ralph Nader,2000,Alabama,Macon,31
Other,2000,Alabama,Macon,44
Al Gore,2000,Alabama,Madison,48199
George W. Bush,2000,Alabama,Madison,62151
Ralph Nader,2000,Alabama,Madison,1885
Other,2000,Alabama,Madison,1083
Al Gore,2000,Alabama,Marengo,4841
George W. Bush,2000,Alabama,Marengo,4690
Ralph Nader,2000,Alabama,Marengo,40
Other,2000,Alabama,Marengo,37
Al Gore,2000,Alabama,Marion,4600
George W. Bush,2000,Alabama,Marion,6910
Ralph Nader,2000,Alabama,Marion,125
Other,2000,Alabama,Marion,121
Al Gore,2000,Alabama,Marshall,10381
George W. Bush,2000,Alabama,Marshall,17084
Ralph Nader,2000,Alabama,Marshall,256
Other,2000,Alabama,Marshall,268
Al Gore,2000,Alabama,Mobile,58640
George W. Bush,2000,Alabama,Mobile,78162
Ralph Nader,2000,Alabama,Mobile,1585
Other,2000,Alabama,Mobile,1358
Al Gore,2000,Alabama,Monroe,3741
George W. Bush,2000,Alabama,Monroe,5153
Ralph Nader,2000,Alabama,Monroe,25
Other,2000,Alabama,Monroe,32
Al Gore,2000,Alabama,Montgomery,40371
George W. Bush,2000,Alabama,Montgomery,38827
Ralph Nader,2000,Alabama,Montgomery,677
Other,2000,Alabama,Montgomery,453
Al Gore,2000,Alabama,Morgan,16060
George W. Bush,2000,Alabama,Morgan,25774
Ralph Nader,2000,Alabama,Morgan,450
Other,2000,Alabama,Morgan,397
Al Gore,2000,Alabama,Perry,4020
George W. Bush,2000,Alabama,Perry,1732
Ralph Nader,2000,Alabama,Perry,18
Other,2000,Alabama,Perry,17
Al Gore,2000,Alabama,Pickens,4143
George W. Bush,2000,Alabama,Pickens,4306
Ralph Nader,2000,Alabama,Pickens,39
Other,2000,Alabama,Pickens,52
Al Gore,2000,Alabama,Pike,4357
George W. Bush,2000,Alabama,Pike,6058
Ralph Nader,2000,Alabama,Pike,75
Other,2000,Alabama,Pike,54
Al Gore,2000,Alabama,Randolph,3094
George W. Bush,2000,Alabama,Randolph,4666
Ralph Nader,2000,Alabama,Randolph,60
Other,2000,Alabama,Randolph,99
Al Gore,2000,Alabama,Russell,8396
George W. Bush,2000,Alabama,Russell,6198
Ralph Nader,2000,Alabama,Russell,109
Other,2000,Alabama,Russell,72
Al Gore,2000,Alabama,St. Clair,6485
George W. Bush,2000,Alabama,St. Clair,17117
Ralph Nader,2000,Alabama,St. Clair,221
Other,2000,Alabama,St. Clair,267
Al Gore,2000,Alabama,Shelby,13183
George W. Bush,2000,Alabama,Shelby,47651
Ralph Nader,2000,Alabama,Shelby,812
Other,2000,Alabama,Shelby,482
Al Gore,2000,Alabama,Sumter,4415
George W. Bush,2000,Alabama,Sumter,1629
Ralph Nader,2000,Alabama,Sumter,20
Other,2000,Alabama,Sumter,24
Al Gore,2000,Alabama,Talladega,11264
George W. Bush,2000,Alabama,Talladega,13807
Ralph Nader,2000,Alabama,Talladega,184
Other,2000,Alabama,Talladega,196
Al Gore,2000,Alabama,Tallapoosa,6183
George W. Bush,2000,Alabama,Tallapoosa,9805
Ralph Nader,2000,Alabama,Tallapoosa,153
Other,2000,Alabama,Tallapoosa,112
Al Gore,2000,Alabama,Tuscaloosa,24614
George W. Bush,2000,Alabama,Tuscaloosa,34003
Ralph Nader,2000,Alabama,Tuscaloosa,1007
Other,2000,Alabama,Tuscaloosa,490
Al Gore,2000,Alabama,Walker,11621
George W. Bush,2000,Alabama,Walker,13486
Ralph Nader,2000,Alabama,Walker,264
Other,2000,Alabama,Walker,270
Al Gore,2000,Alabama,Washington,3386
George W. Bush,2000,Alabama,Washington,4117
Ralph Nader,2000,Alabama,Washington,26
Other,2000,Alabama,Washington,67
Al Gore,2000,Alabama,Wilcox,3444
George W. Bush,2000,Alabama,Wilcox,1661
Ralph Nader,2000,Alabama,Wilcox,6
Other,2000,Alabama,Wilcox,15
Al Gore,2000,Alabama,Winston,2692
George W. Bush,2000,Alabama,Winston,6413
Ralph Nader,2000,Alabama,Winston,88
Other,2000,Alabama,Winston,125
Al Gore,2000,Arizona,Apache,13025
George W. Bush,2000,Arizona,Apache,5947
Ralph Nader,2000,Arizona,Apache,245
Other,2000,Arizona,Apache,239
Al Gore,2000,Arizona,Cochise,13360
George W. Bush,2000,Arizona,Cochise,18180
Ralph Nader,2000,Arizona,Cochise,1113
Other,2000,Arizona,Cochise,588
Al Gore,2000,Arizona,Coconino,20280
George W. Bush,2000,Arizona,Coconino,17562
Ralph Nader,2000,Arizona,Coconino,2478
Other,2000,Arizona,Coconino,563
Al Gore,2000,Arizona,Gila,7700
George W. Bush,2000,Arizona,Gila,9158
Ralph Nader,2000,Arizona,Gila,497
Other,2000,Arizona,Gila,381
Al Gore,2000,Arizona,Graham,3355
George W. Bush,2000,Arizona,Graham,6007
Ralph Nader,2000,Arizona,Graham,144
Other,2000,Arizona,Graham,158
Al Gore,2000,Arizona,Greenlee,1216
George W. Bush,2000,Arizona,Greenlee,1619
Ralph Nader,2000,Arizona,Greenlee,68
Other,2000,Arizona,Greenlee,57
Al Gore,2000,Arizona,La Paz,1769
George W. Bush,2000,Arizona,La Paz,2543
Ralph Nader,2000,Arizona,La Paz,91
Other,2000,Arizona,La Paz,80
Al Gore,2000,Arizona,Maricopa,386683
George W. Bush,2000,Arizona,Maricopa,479967
Ralph Nader,2000,Arizona,Maricopa,22465
Other,2000,Arizona,Maricopa,12584
Al Gore,2000,Arizona,Mohave,17470
George W. Bush,2000,Arizona,Mohave,24386
Ralph Nader,2000,Arizona,Mohave,1323
Other,2000,Arizona,Mohave,962
Al Gore,2000,Arizona,Navajo,11794
George W. Bush,2000,Arizona,Navajo,12386
Ralph Nader,2000,Arizona,Navajo,517
Other,2000,Arizona,Navajo,450
Al Gore,2000,Arizona,Pima,147688
George W. Bush,2000,Arizona,Pima,124579
Ralph Nader,2000,Arizona,Pima,12355
Other,2000,Arizona,Pima,3018
Al Gore,2000,Arizona,Pinal,19650
George W. Bush,2000,Arizona,Pinal,20122
Ralph Nader,2000,Arizona,Pinal,904
Other,2000,Arizona,Pinal,614
Al Gore,2000,Arizona,Santa Cruz,5233
George W. Bush,2000,Arizona,Santa Cruz,3344
Ralph Nader,2000,Arizona,Santa Cruz,217
Other,2000,Arizona,Santa Cruz,99
Al Gore,2000,Arizona,Yavapai,24063
George W. Bush,2000,Arizona,Yavapai,40144
Ralph Nader,2000,Arizona,Yavapai,2733
Other,2000,Arizona,Yavapai,1288
Al Gore,2000,Arizona,Yuma,12055
George W. Bush,2000,Arizona,Yuma,15708
Ralph Nader,2000,Arizona,Yuma,495
Other,2000,Arizona,Yuma,394
Al Gore,2000,Arkansas,Arkansas,2877
George W. Bush,2000,Arkansas,Arkansas,3353
Ralph Nader,2000,Arkansas,Arkansas,65
Other,2000,Arkansas,Arkansas,77
Al Gore,2000,Arkansas,Ashley,4253
George W. Bush,2000,Arkansas,Ashley,3876
Ralph Nader,2000,Arkansas,Ashley,61
Other,2000,Arkansas,Ashley,81
Al Gore,2000,Arkansas,Baxter,6516
George W. Bush,2000,Arkansas,Baxter,9538
Ralph Nader,2000,Arkansas,Baxter,429
Other,2000,Arkansas,Baxter,225
Al Gore,2000,Arkansas,Benton,17277
George W. Bush,2000,Arkansas,Benton,34838
Ralph Nader,2000,Arkansas,Benton,862
Other,2000,Arkansas,Benton,669
Al Gore,2000,Arkansas,Boone,4493
George W. Bush,2000,Arkansas,Boone,8569
Ralph Nader,2000,Arkansas,Boone,289
Other,2000,Arkansas,Boone,284
Al Gore,2000,Arkansas,Bradley,2122
George W. Bush,2000,Arkansas,Bradley,1793
Ralph Nader,2000,Arkansas,Bradley,34
Other,2000,Arkansas,Bradley,30
Al Gore,2000,Arkansas,Calhoun,1017
George W. Bush,2000,Arkansas,Calhoun,1128
Ralph Nader,2000,Arkansas,Calhoun,19
Other,2000,Arkansas,Calhoun,21
Al Gore,2000,Arkansas,Carroll,3595
George W. Bush,2000,Arkansas,Carroll,5556
Ralph Nader,2000,Arkansas,Carroll,301
Other,2000,Arkansas,Carroll,138
Al Gore,2000,Arkansas,Chicot,2820
George W. Bush,2000,Arkansas,Chicot,1564
Ralph Nader,2000,Arkansas,Chicot,26
Other,2000,Arkansas,Chicot,42
Al Gore,2000,Arkansas,Clark,4661
George W. Bush,2000,Arkansas,Clark,3776
Ralph Nader,2000,Arkansas,Clark,103
Other,2000,Arkansas,Clark,86
Al Gore,2000,Arkansas,Clay,3527
George W. Bush,2000,Arkansas,Clay,2254
Ralph Nader,2000,Arkansas,Clay,73
Other,2000,Arkansas,Clay,46
Al Gore,2000,Arkansas,Cleburne,4120
George W. Bush,2000,Arkansas,Cleburne,5730
Ralph Nader,2000,Arkansas,Cleburne,183
Other,2000,Arkansas,Cleburne,174
Al Gore,2000,Arkansas,Cleveland,1414
George W. Bush,2000,Arkansas,Cleveland,1678
Ralph Nader,2000,Arkansas,Cleveland,30
Other,2000,Arkansas,Cleveland,59
Al Gore,2000,Arkansas,Columbia,4003
George W. Bush,2000,Arkansas,Columbia,5018
Ralph Nader,2000,Arkansas,Columbia,70
Other,2000,Arkansas,Columbia,216
Al Gore,2000,Arkansas,Conway,3496
George W. Bush,2000,Arkansas,Conway,3545
Ralph Nader,2000,Arkansas,Conway,84
Other,2000,Arkansas,Conway,109
Al Gore,2000,Arkansas,Craighead,12376
George W. Bush,2000,Arkansas,Craighead,12158
Ralph Nader,2000,Arkansas,Craighead,409
Other,2000,Arkansas,Craighead,214
Al Gore,2000,Arkansas,Crawford,6288
George W. Bush,2000,Arkansas,Crawford,10804
Ralph Nader,2000,Arkansas,Crawford,223
Other,2000,Arkansas,Crawford,310
Al Gore,2000,Arkansas,Crittenden,7224
George W. Bush,2000,Arkansas,Crittenden,5857
Ralph Nader,2000,Arkansas,Crittenden,97
Other,2000,Arkansas,Crittenden,56
Al Gore,2000,Arkansas,Cross,3096
George W. Bush,2000,Arkansas,Cross,3033
Ralph Nader,2000,Arkansas,Cross,38
Other,2000,Arkansas,Cross,48
Al Gore,2000,Arkansas,Dallas,1710
George W. Bush,2000,Arkansas,Dallas,1571
Ralph Nader,2000,Arkansas,Dallas,21
Other,2000,Arkansas,Dallas,23
Al Gore,2000,Arkansas,Desha,2776
George W. Bush,2000,Arkansas,Desha,1603
Ralph Nader,2000,Arkansas,Desha,38
Other,2000,Arkansas,Desha,78
Al Gore,2000,Arkansas,Drew,3060
George W. Bush,2000,Arkansas,Drew,2756
Ralph Nader,2000,Arkansas,Drew,47
Other,2000,Arkansas,Drew,59
Al Gore,2000,Arkansas,Faulkner,11950
George W. Bush,2000,Arkansas,Faulkner,16055
Ralph Nader,2000,Arkansas,Faulkner,513
Other,2000,Arkansas,Faulkner,698
Al Gore,2000,Arkansas,Franklin,2674
George W. Bush,2000,Arkansas,Franklin,3277
Ralph Nader,2000,Arkansas,Franklin,100
Other,2000,Arkansas,Franklin,89
Al Gore,2000,Arkansas,Fulton,1976
George W. Bush,2000,Arkansas,Fulton,2036
Ralph Nader,2000,Arkansas,Fulton,51
Other,2000,Arkansas,Fulton,45
Al Gore,2000,Arkansas,Garland,15840
George W. Bush,2000,Arkansas,Garland,19098
Ralph Nader,2000,Arkansas,Garland,566
Other,2000,Arkansas,Garland,431
Al Gore,2000,Arkansas,Grant,2535
George W. Bush,2000,Arkansas,Grant,3285
Ralph Nader,2000,Arkansas,Grant,88
Other,2000,Arkansas,Grant,105
Al Gore,2000,Arkansas,Greene,6319
George W. Bush,2000,Arkansas,Greene,5831
Ralph Nader,2000,Arkansas,Greene,205
Other,2000,Arkansas,Greene,129
Al Gore,2000,Arkansas,Hempstead,3937
George W. Bush,2000,Arkansas,Hempstead,3257
Ralph Nader,2000,Arkansas,Hempstead,50
Other,2000,Arkansas,Hempstead,45
Al Gore,2000,Arkansas,Hot Spring,5527
George W. Bush,2000,Arkansas,Hot Spring,5042
Ralph Nader,2000,Arkansas,Hot Spring,202
Other,2000,Arkansas,Hot Spring,210
Al Gore,2000,Arkansas,Howard,2063
George W. Bush,2000,Arkansas,Howard,2326
Ralph Nader,2000,Arkansas,Howard,50
Other,2000,Arkansas,Howard,20
Al Gore,2000,Arkansas,Independence,5146
George W. Bush,2000,Arkansas,Independence,6145
Ralph Nader,2000,Arkansas,Independence,171
Other,2000,Arkansas,Independence,132
Al Gore,2000,Arkansas,Izard,2587
George W. Bush,2000,Arkansas,Izard,2301
Ralph Nader,2000,Arkansas,Izard,76
Other,2000,Arkansas,Izard,68
Al Gore,2000,Arkansas,Jackson,3651
George W. Bush,2000,Arkansas,Jackson,2280
Ralph Nader,2000,Arkansas,Jackson,77
Other,2000,Arkansas,Jackson,64
Al Gore,2000,Arkansas,Jefferson,17716
George W. Bush,2000,Arkansas,Jefferson,8765
Ralph Nader,2000,Arkansas,Jefferson,361
Other,2000,Arkansas,Jefferson,359
Al Gore,2000,Arkansas,Johnson,3270
George W. Bush,2000,Arkansas,Johnson,3657
Ralph Nader,2000,Arkansas,Johnson,109
Other,2000,Arkansas,Johnson,125
Al Gore,2000,Arkansas,Lafayette,1806
George W. Bush,2000,Arkansas,Lafayette,1538
Ralph Nader,2000,Arkansas,Lafayette,27
Other,2000,Arkansas,Lafayette,12
Al Gore,2000,Arkansas,Lawrence,3255
George W. Bush,2000,Arkansas,Lawrence,2626
Ralph Nader,2000,Arkansas,Lawrence,87
Other,2000,Arkansas,Lawrence,72
Al Gore,2000,Arkansas,Lee,2727
George W. Bush,2000,Arkansas,Lee,1351
Ralph Nader,2000,Arkansas,Lee,18
Other,2000,Arkansas,Lee,25
Al Gore,2000,Arkansas,Lincoln,1957
George W. Bush,2000,Arkansas,Lincoln,1526
Ralph Nader,2000,Arkansas,Lincoln,21
Other,2000,Arkansas,Lincoln,42
Al Gore,2000,Arkansas,Little River,2883
George W. Bush,2000,Arkansas,Little River,2283
Ralph Nader,2000,Arkansas,Little River,50
Other,2000,Arkansas,Little River,47
Al Gore,2000,Arkansas,Logan,3283
George W. Bush,2000,Arkansas,Logan,4487
Ralph Nader,2000,Arkansas,Logan,124
Other,2000,Arkansas,Logan,202
Al Gore,2000,Arkansas,Lonoke,6851
George W. Bush,2000,Arkansas,Lonoke,10606
Ralph Nader,2000,Arkansas,Lonoke,237
Other,2000,Arkansas,Lonoke,249
Al Gore,2000,Arkansas,Madison,2055
George W. Bush,2000,Arkansas,Madison,3387
Ralph Nader,2000,Arkansas,Madison,88
Other,2000,Arkansas,Madison,98
Al Gore,2000,Arkansas,Marion,2233
George W. Bush,2000,Arkansas,Marion,3402
Ralph Nader,2000,Arkansas,Marion,220
Other,2000,Arkansas,Marion,160
Al Gore,2000,Arkansas,Miller,6278
George W. Bush,2000,Arkansas,Miller,7276
Ralph Nader,2000,Arkansas,Miller,100
Other,2000,Arkansas,Miller,91
Al Gore,2000,Arkansas,Mississippi,7107
George W. Bush,2000,Arkansas,Mississippi,5199
Ralph Nader,2000,Arkansas,Mississippi,110
Other,2000,Arkansas,Mississippi,170
Al Gore,2000,Arkansas,Monroe,1910
George W. Bush,2000,Arkansas,Monroe,1329
Ralph Nader,2000,Arkansas,Monroe,29
Other,2000,Arkansas,Monroe,25
Al Gore,2000,Arkansas,Montgomery,1438
George W. Bush,2000,Arkansas,Montgomery,2128
Ralph Nader,2000,Arkansas,Montgomery,101
Other,2000,Arkansas,Montgomery,72
Al Gore,2000,Arkansas,Nevada,1867
George W. Bush,2000,Arkansas,Nevada,1796
Ralph Nader,2000,Arkansas,Nevada,42
Other,2000,Arkansas,Nevada,33
Al Gore,2000,Arkansas,Newton,1205
George W. Bush,2000,Arkansas,Newton,2529
Ralph Nader,2000,Arkansas,Newton,112
Other,2000,Arkansas,Newton,81
Al Gore,2000,Arkansas,Ouachita,5464
George W. Bush,2000,Arkansas,Ouachita,4739
Ralph Nader,2000,Arkansas,Ouachita,100
Other,2000,Arkansas,Ouachita,92
Al Gore,2000,Arkansas,Perry,1648
George W. Bush,2000,Arkansas,Perry,2114
Ralph Nader,2000,Arkansas,Perry,61
Other,2000,Arkansas,Perry,184
Al Gore,2000,Arkansas,Phillips,6018
George W. Bush,2000,Arkansas,Phillips,3154
Ralph Nader,2000,Arkansas,Phillips,75
Other,2000,Arkansas,Phillips,66
Al Gore,2000,Arkansas,Pike,1604
George W. Bush,2000,Arkansas,Pike,2275
Ralph Nader,2000,Arkansas,Pike,45
Other,2000,Arkansas,Pike,47
Al Gore,2000,Arkansas,Poinsett,4102
George W. Bush,2000,Arkansas,Poinsett,2988
Ralph Nader,2000,Arkansas,Poinsett,87
Other,2000,Arkansas,Poinsett,58
Al Gore,2000,Arkansas,Polk,2315
George W. Bush,2000,Arkansas,Polk,4600
Ralph Nader,2000,Arkansas,Polk,130
Other,2000,Arkansas,Polk,148
Al Gore,2000,Arkansas,Pope,6669
George W. Bush,2000,Arkansas,Pope,11244
Ralph Nader,2000,Arkansas,Pope,259
Other,2000,Arkansas,Pope,250
Al Gore,2000,Arkansas,Prairie,1563
George W. Bush,2000,Arkansas,Prairie,1862
Ralph Nader,2000,Arkansas,Prairie,29
Other,2000,Arkansas,Prairie,53
Al Gore,2000,Arkansas,Pulaski,68320
George W. Bush,2000,Arkansas,Pulaski,55866
Ralph Nader,2000,Arkansas,Pulaski,1756
Other,2000,Arkansas,Pulaski,1209
Al Gore,2000,Arkansas,Randolph,3019
George W. Bush,2000,Arkansas,Randolph,2673
Ralph Nader,2000,Arkansas,Randolph,84
Other,2000,Arkansas,Randolph,101
Al Gore,2000,Arkansas,St. Francis,4986
George W. Bush,2000,Arkansas,St. Francis,3414
Ralph Nader,2000,Arkansas,St. Francis,42
Other,2000,Arkansas,St. Francis,54
Al Gore,2000,Arkansas,Saline,12700
George W. Bush,2000,Arkansas,Saline,18617
Ralph Nader,2000,Arkansas,Saline,533
Other,2000,Arkansas,Saline,541
Al Gore,2000,Arkansas,Scott,1444
George W. Bush,2000,Arkansas,Scott,2399
Ralph Nader,2000,Arkansas,Scott,48
Other,2000,Arkansas,Scott,90
Al Gore,2000,Arkansas,Searcy,1229
George W. Bush,2000,Arkansas,Searcy,2610
Ralph Nader,2000,Arkansas,Searcy,83
Other,2000,Arkansas,Searcy,136
Al Gore,2000,Arkansas,Sebastian,15555
George W. Bush,2000,Arkansas,Sebastian,23483
Ralph Nader,2000,Arkansas,Sebastian,503
Other,2000,Arkansas,Sebastian,618
Al Gore,2000,Arkansas,Sevier,2095
George W. Bush,2000,Arkansas,Sevier,2111
Ralph Nader,2000,Arkansas,Sevier,55
Other,2000,Arkansas,Sevier,32
Al Gore,2000,Arkansas,Sharp,3236
George W. Bush,2000,Arkansas,Sharp,3698
Ralph Nader,2000,Arkansas,Sharp,115
Other,2000,Arkansas,Sharp,77
Al Gore,2000,Arkansas,Stone,2043
George W. Bush,2000,Arkansas,Stone,2623
Ralph Nader,2000,Arkansas,Stone,98
Other,2000,Arkansas,Stone,96
Al Gore,2000,Arkansas,Union,6261
George W. Bush,2000,Arkansas,Union,8647
Ralph Nader,2000,Arkansas,Union,130
Other,2000,Arkansas,Union,571
Al Gore,2000,Arkansas,Van Buren,3202
George W. Bush,2000,Arkansas,Van Buren,3485
Ralph Nader,2000,Arkansas,Van Buren,153
Other,2000,Arkansas,Van Buren,144
Al Gore,2000,Arkansas,Washington,21425
George W. Bush,2000,Arkansas,Washington,28231
Ralph Nader,2000,Arkansas,Washington,1208
Other,2000,Arkansas,Washington,595
Al Gore,2000,Arkansas,White,8342
George W. Bush,2000,Arkansas,White,13170
Ralph Nader,2000,Arkansas,White,243
Other,2000,Arkansas,White,395
Al Gore,2000,Arkansas,Woodruff,1699
George W. Bush,2000,Arkansas,Woodruff,898
Ralph Nader,2000,Arkansas,Woodruff,19
Other,2000,Arkansas,Woodruff,35
Al Gore,2000,Arkansas,Yell,3062
George W. Bush,2000,Arkansas,Yell,3223
Ralph Nader,2000,Arkansas,Yell,78
Other,2000,Arkansas,Yell,116
Al Gore,2000,California,Alameda,342889
George W. Bush,2000,California,Alameda,119279
Ralph Nader,2000,California,Alameda,27499
Other,2000,California,Alameda,4669
Al Gore,2000,California,Alpine,265
George W. Bush,2000,California,Alpine,281
Ralph Nader,2000,California,Alpine,25
Other,2000,California,Alpine,15
Al Gore,2000,California,Amador,5906
